Ticket #,Customer Complaint,Date,Date_month_year,Time,Received Via,City,State,Zip code,Status,Filing on Behalf of Someone,Complaint_Clean
241880,Cable Modem rent for Internet access,,2025-04-17,15:48:16,Internet,Arlington Heights,Illinois,60004,Closed,No,cable modem rent for internet access
360187,Comcast/Xfinity,,2025-06-23,21:27:28,Customer Care Call,Arvada,Colorado,80004,Solved,No,comcastxfinity
223960,Speed issues,,2025-08-04,12:53:45,Internet,Ashland,Virginia,23005,Closed,No,speed issues
355934,AT&T,,2025-06-22,13:58:04,Customer Care Call,Athens,Tennessee,37303,Solved,No,att
211976,Fraudulent claims reported to collections agency,,2025-01-04,13:26:53,Customer Care Call,Atlanta,Georgia,30312,Closed,No,fraudulent claims reported to collections agency
243998,Comcast using a Data Cap to take however much money they like,,2025-04-19,22:49:13,Internet,Atlanta,Georgia,30097,Closed,No,comcast using a data cap to take however much money they like
265755,Comcast Data Cap,,2025-04-30,08:50:19,Customer Care Call,Atlanta,Georgia,30339,Closed,No,comcast data cap
230907,Speed of service,,2025-11-04,20:30:03,Customer Care Call,Atlanta,Georgia,30319,Closed,No,speed of service
231273,Comcast's Monopolistic Practices and Data Capping,,2025-12-04,15:22:03,Internet,Atlanta,Georgia,30315,Closed,No,comcasts monopolistic practices and data capping
231292,"Comcast data cap ""trials""",,2025-12-04,15:45:26,Internet,Atlanta,Georgia,30316,Closed,No,comcast data cap trials
231377,Comcast billing problem,,2025-12-04,18:18:10,Internet,Atlanta,Georgia,30308,Closed,No,comcast billing problem
252681,Comcast Needs Competition,,2025-04-23,14:26:10,Customer Care Call,Atlanta,Georgia,30315,Closed,No,comcast needs competition
268101,Comcast services/billing issues,,2025-01-05,10:00:59,Customer Care Call,Atlanta,Georgia,30316,Solved,No,comcast servicesbilling issues
269066,Incorrect Bill,,2025-01-05,15:43:37,Customer Care Call,Atlanta,Georgia,30317,Solved,No,incorrect bill
273420,Legality of data caps,,2025-05-05,11:58:26,Internet,Atlanta,Georgia,30315,Closed,No,legality of data caps
278509,Data caps,,2025-07-05,14:55:45,Internet,Atlanta,Georgia,30363,Open,No,data caps
279656,Comcast Added Service After I Declined It,,2025-08-05,08:47:45,Internet,Atlanta,Georgia,30345,Solved,No,comcast added service after i declined it
288771,Comcast Misled With Overage Policy,,2025-05-13,19:55:53,Internet,Atlanta,Georgia,30317,Open,No,comcast misled with overage policy
293512,Cable service and telephone connect not complete,,2025-05-16,16:29:33,Customer Care Call,Atlanta,Georgia,30311,Solved,Yes,cable service and telephone connect not complete
297104,Comcast data cap,,2025-05-19,13:51:11,Customer Care Call,Atlanta,Georgia,30305,Solved,No,comcast data cap
303412,Comcast Won't Cancel My Service,,2025-05-22,13:09:51,Customer Care Call,Atlanta,Georgia,30318,Solved,No,comcast wont cancel my service
304450,Data Caps,,2025-05-23,00:05:55,Internet,Atlanta,Georgia,30318,Open,No,data caps
305137,Comcast disconnecting service before due date,,2025-05-23,23:34:43,Internet,Atlanta,Georgia,30324,Open,No,comcast disconnecting service before due date
305982,comcast data cap,,2025-05-25,15:34:56,Internet,Atlanta,Georgia,30309,Open,No,comcast data cap
307799,Comcast,,2025-05-26,16:29:57,Customer Care Call,Atlanta,Georgia,30318,Solved,No,comcast
308171,Unbelievable Treatment,,2025-05-26,18:40:25,Customer Care Call,Atlanta,Georgia,30310,Solved,No,unbelievable treatment
312746,Denial of Comcast Business (Phone and internet) Service to my dental practice,,2025-05-28,22:35:40,Customer Care Call,Atlanta,Georgia,30324,Solved,No,denial of comcast business phone and internet service to my dental practice
311725,Comcast's Terrible Service - How are they still in business?,,2025-05-28,14:46:47,Internet,Atlanta,Georgia,30309,Solved,No,comcasts terrible service how are they still in business
313949,they are forcing me for my bank account information by suspending my services for no reason (I also feel like they are committing corporate theft).,,2025-05-29,15:56:01,Internet,Atlanta,Georgia,30314,Solved,No,they are forcing me for my bank account information by suspending my services for no reason i also feel like they are committing corporate theft
315173,Comcast discontinuation of service issue,,2025-05-30,15:27:41,Customer Care Call,Atlanta,Georgia,30312,Open,No,comcast discontinuation of service issue
317945,Comcast customer service,,2025-01-06,21:32:46,Customer Care Call,Atlanta,Georgia,30329,Closed,No,comcast customer service
318301,Comcast,,2025-02-06,10:06:22,Customer Care Call,Atlanta,Georgia,30315,Closed,No,comcast
322511,"Comcast bandwidth data caps in Atlanta, GA",,2025-03-06,23:59:33,Internet,Atlanta,Georgia,30341,Closed,Yes,comcast bandwidth data caps in atlanta ga
322882,Comcast won't quit charging me for modem rental,,2025-04-06,10:58:18,Internet,Atlanta,Georgia,30317,Solved,No,comcast wont quit charging me for modem rental
323473,Comcast download caps,,2025-04-06,14:18:03,Internet,Atlanta,Georgia,30345,Solved,No,comcast download caps
325596,Horrible Comcast Customer Service,,2025-05-06,14:46:43,Customer Care Call,Atlanta,Georgia,30339,Solved,No,horrible comcast customer service
327291,Data Cap,,2025-07-06,10:01:52,Internet,Atlanta,Georgia,30309,Solved,No,data cap
334035,Bad Customer Service,,2025-10-06,22:24:00,Internet,Atlanta,Georgia,30331,Solved,No,bad customer service
340637,disconnection of service,,2025-06-15,10:56:55,Customer Care Call,Atlanta,Georgia,30306,Solved,No,disconnection of service
341535,Comcast Data Usage Charges,,2025-06-15,15:39:09,Customer Care Call,Atlanta,Georgia,30309,Open,No,comcast data usage charges
350016,Comcast refuses service to my address,,2025-06-18,16:45:38,Customer Care Call,Atlanta,Georgia,30318,Solved,No,comcast refuses service to my address
349567,Comcast will not let me discuss my bill or service with a representative,,2025-06-18,15:36:45,Customer Care Call,Atlanta,Georgia,30324,Solved,No,comcast will not let me discuss my bill or service with a representative
349716,Comcast billing frauds,,2025-06-18,15:53:05,Internet,Atlanta,Georgia,30328,Solved,No,comcast billing frauds
354254,Comcast TV/Internet hookup,,2025-06-20,19:16:33,Internet,Atlanta,Georgia,30341,Solved,No,comcast tvinternet hookup
355121,no service for 5+ days,,2025-06-22,09:05:33,Internet,Atlanta,Georgia,30341,Solved,No,no service for 5 days
357856,Comcast - Billing,,2025-06-23,11:35:54,Customer Care Call,Atlanta,Georgia,30363,Open,No,comcast billing
359719,Comcast Internet,,2025-06-23,18:27:47,Customer Care Call,Atlanta,Georgia,30307,Solved,No,comcast internet
359260,Comcast speed integrity,,2025-06-23,16:30:18,Customer Care Call,Atlanta,Georgia,30308,Pending,No,comcast speed integrity
358601,Data cap,,2025-06-23,14:21:23,Internet,Atlanta,Georgia,30306,Pending,No,data cap
362076,Comcast Atlanta Data Caps,,2025-06-24,14:13:31,Internet,Atlanta,Georgia,30306,Pending,No,comcast atlanta data caps
362097,Comcast Atlanta Data Caps,,2025-06-24,14:18:32,Internet,Atlanta,Georgia,30324,Pending,No,comcast atlanta data caps
363616,COMCAST Poor Customer Service,,2025-06-24,22:28:58,Internet,Atlanta,Georgia,30345,Open,No,comcast poor customer service
361720,Overage on 300GB data plan with Comcast,,2025-06-24,12:39:59,Customer Care Call,Atlanta,Georgia,30306,Solved,No,overage on 300gb data plan with comcast
362223,Comcast bill,,2025-06-24,14:43:13,Customer Care Call,Atlanta,Georgia,30316,Solved,No,comcast bill
363102,Comcast Data Cap,,2025-06-24,18:24:57,Customer Care Call,Atlanta,Georgia,30328,Pending,No,comcast data cap
363235,Unfair Billing Practices,,2025-06-24,19:12:16,Internet,Atlanta,Georgia,30307,Solved,No,unfair billing practices
363424,Comcast data caps,,2025-06-24,20:42:06,Customer Care Call,Atlanta,Georgia,30327,Solved,No,comcast data caps
365321,Comcast Refusing to Honor Internet Rate,,2025-06-25,14:08:35,Internet,Atlanta,Georgia,30324,Solved,No,comcast refusing to honor internet rate
363860,speed,,2025-06-25,07:33:58,Internet,Atlanta,Georgia,30316,Open,No,speed
368838,Not Acceptable Internet Additional Charge.,,2025-06-26,16:42:51,Customer Care Call,Atlanta,Georgia,30339,Solved,No,not acceptable internet additional charge
367718,Comcast internet and cable service,,2025-06-26,11:02:54,Customer Care Call,Atlanta,Georgia,30316,Open,Yes,comcast internet and cable service
370846,"Comcast deceptive advertising, overage charges",,2025-06-28,12:08:05,Internet,Atlanta,Georgia,30329,Pending,No,comcast deceptive advertising overage charges
372331,Comcast Data Caps,,2025-06-29,13:49:15,Internet,Atlanta,Georgia,30324,Pending,Yes,comcast data caps
373205,Comcast: Xfinity Slamming,,2025-06-29,17:41:37,Internet,Atlanta,Georgia,30315,Closed,No,comcast xfinity slamming
375377,Comcast Support Unable to Provide Accurate Information,,2025-06-30,16:17:34,Internet,Atlanta,Georgia,30328,Open,No,comcast support unable to provide accurate information
373977,Comcast Data Usage Limits,,2025-06-30,08:14:37,Internet,Atlanta,Georgia,30342,Pending,No,comcast data usage limits
344456,Repeated Erroneous Modem Rental Charge,,2025-06-16,20:17:10,Customer Care Call,Atlanta,Georgia,30308,Solved,No,repeated erroneous modem rental charge
374159,Xfinity pricing,,2025-06-30,10:33:18,Customer Care Call,Atlantic Beach,Florida,32233,Solved,No,xfinity pricing
359224,Comcast monopoly,,2025-06-23,16:22:19,Internet,Attalla,Alabama,35954,Solved,No,comcast monopoly
274956,Internet connection both upload and download speeds,,2025-05-05,19:34:03,Customer Care Call,Attica,Indiana,47918,Open,No,internet connection both upload and download speeds
338651,Internet Availability,,2025-06-13,01:07:20,Internet,Attica,Michigan,48412,Open,No,internet availability
369453,"Comcast ""50 mb/s"" speed and throttling",,2025-06-26,22:15:55,Internet,Auburn,Georgia,30011,Pending,No,comcast 50 mbs speed and throttling
221984,Complaint against Comcast,,2025-07-04,14:43:14,Internet,Auburn,Pennsylvania,17922,Closed,No,complaint against comcast
346885,Comcast,,2025-06-17,18:17:59,Internet,Auburn,Washington,98092,Open,No,comcast
359070,Comcast (Xfinity) Monopolistic Billing Practices,,2025-06-23,15:49:46,Internet,Auburn,Washington,98092,Closed,No,comcast xfinity monopolistic billing practices
372769,Internet Throttling,,2025-06-29,15:47:44,Internet,Auburn,Washington,98092,Solved,No,internet throttling
311239,Data Usage Overage,,2025-05-28,12:16:01,Internet,Augusta,Georgia,30907,Solved,Yes,data usage overage
339371,double billing after change of service,,2025-06-13,17:24:59,Internet,Augusta,Georgia,30904,Solved,Yes,double billing after change of service
360222,Bandwidth Caps becoming excessive,,2025-06-23,21:36:55,Internet,Augusta,Georgia,30907,Solved,No,bandwidth caps becoming excessive
370518,Comcast data limits,,2025-06-27,20:32:23,Customer Care Call,Augusta,Georgia,30904,Solved,Yes,comcast data limits
335988,Unable to cancel xfinity home security,,2025-11-06,21:11:33,Customer Care Call,Aurora,Colorado,80012,Solved,No,unable to cancel xfinity home security
361604,Comcast trying to setup stuff we didn't order,,2025-06-24,12:16:47,Customer Care Call,Aurora,Colorado,80011,Solved,No,comcast trying to setup stuff we didnt order
369583,Terrible waiting times,,2025-06-27,01:21:11,Internet,Aurora,Colorado,80014,Solved,Yes,terrible waiting times
342399,Incorrect prices for new customers,,2025-06-15,21:50:41,Customer Care Call,Aurora,Illinois,60503,Open,No,incorrect prices for new customers
359858,Comcast is throttling my internet,,2025-06-23,19:16:40,Customer Care Call,Aurora,Illinois,60503,Pending,No,comcast is throttling my internet
363993,Internet Pricing,,2025-06-25,09:30:43,Customer Care Call,Aurora,Illinois,60502,Open,No,internet pricing
223256,MISC. CHARGES,,2025-08-04,07:51:06,Customer Care Call,Austell,Georgia,30106,Closed,No,misc charges
375093,Comast data cap,,2025-06-30,15:07:14,Customer Care Call,Austell,Georgia,30168,Pending,No,comast data cap
347937,Comcast throttles internet,,2025-06-18,09:15:45,Customer Care Call,Austin,Texas,78731,Open,No,comcast throttles internet
360286,throttling,,2025-06-23,22:07:17,Internet,Avon,Colorado,81620,Pending,Yes,throttling
279378,Forced Bundling of Internet Service with CATV,,2025-07-05,21:16:13,Customer Care Call,Ayer,Massachusetts,1432,Open,No,forced bundling of internet service with catv
301854,Comcast Internet,,2025-05-21,16:31:00,Customer Care Call,Baden,Pennsylvania,15005,Closed,Yes,comcast internet
306805,Failure to deliver service,,2025-05-26,11:29:54,Customer Care Call,Bainbridge Island,Washington,98110,Solved,No,failure to deliver service
373653,Comcast HBO Go PS4 app,,2025-06-29,20:40:56,Customer Care Call,Bainbridge Island,Washington,98110,Pending,No,comcast hbo go ps4 app
304583,Comcast's refusal to recognize written notice of termination of service,,2025-05-23,10:37:56,Customer Care Call,Bala Cynwyd,Pennsylvania,19004,Solved,No,comcasts refusal to recognize written notice of termination of service
324795,Rates,,2025-05-06,09:59:39,Internet,Bala Cynwyd,Pennsylvania,19004,Closed,No,rates
348338,Termination Fee,,2025-06-18,11:14:49,Internet,Ballston Lake,New York,12019,Solved,No,termination fee
241422,Comcast internet/cable,,2025-04-17,13:21:20,Internet,Baltimore,Maryland,21224,Closed,No,comcast internetcable
252368,I AM BEING CHARGE DOUBLE FOR MY CABLE BILL.,,2025-04-23,12:56:29,Customer Care Call,Baltimore,Maryland,21207,Open,No,i am being charge double for my cable bill
259003,REPEATED Comcast billing issues,,2025-04-27,13:35:21,Customer Care Call,Baltimore,Maryland,21239,Closed,No,repeated comcast billing issues
312881,unauthorized comcast username setup,,2025-05-29,06:31:23,Customer Care Call,Baltimore,Maryland,21206,Open,No,unauthorized comcast username setup
319505,Services turned off in retaliation for complaints,,2025-02-06,17:14:14,Customer Care Call,Baltimore,Maryland,21218,Closed,No,services turned off in retaliation for complaints
342923,Comcast does not disclose the Internet speed I'm paying for anywhere on my bill or online,,2025-06-16,11:17:13,Customer Care Call,Baltimore,Maryland,21218,Open,No,comcast does not disclose the internet speed im paying for anywhere on my bill or online
343096,Internet speeds disclosure on bill,,2025-06-16,12:11:39,Internet,Baltimore,Maryland,21218,Solved,No,internet speeds disclosure on bill
343625,Internet speed not disclosed,,2025-06-16,15:09:53,Customer Care Call,Baltimore,Maryland,21237,Solved,No,internet speed not disclosed
348974,Intermittent Service,,2025-06-18,14:04:40,Customer Care Call,Baltimore,Maryland,21209,Solved,No,intermittent service
356080,Comcast billing practices,,2025-06-22,14:31:19,Internet,Baltimore,Maryland,21218,Solved,No,comcast billing practices
360196,monopoly,,2025-06-23,21:28:56,Internet,Baltimore,Maryland,21225,Solved,No,monopoly
358485,Consistently Slow and Throttled Internet Speeds,,2025-06-23,13:56:14,Internet,Baltimore,Maryland,21217,Pending,No,consistently slow and throttled internet speeds
360378,Paying for high speed internet with Comcast. Consistently getting slow service.,,2025-06-23,22:37:16,Internet,Baltimore,Maryland,21202,Open,No,paying for high speed internet with comcast consistently getting slow service
357904,Comcast Monopoly on Packages is costing me more money for same service,,2025-06-23,11:49:09,Customer Care Call,Baltimore,Maryland,21212,Solved,No,comcast monopoly on packages is costing me more money for same service
361480,"hidden fees, dropped internet connection",,2025-06-24,11:43:44,Internet,Baltimore,Maryland,21224,Solved,Yes,hidden fees dropped internet connection
364840,COMCAST HIGH SPEED INTERNET MONOPOLY,,2025-06-25,12:58:48,Internet,Baltimore,Maryland,21224,Solved,No,comcast high speed internet monopoly
368793,ComCast cable In Maryland,,2025-06-26,16:25:27,Customer Care Call,Baltimore,Maryland,21222,Solved,No,comcast cable in maryland
370296,Billing Dispute & Poor Customer Service,,2025-06-27,17:21:39,Internet,Baltimore,Maryland,21239,Closed,No,billing dispute poor customer service
373716,Comcast change contract,,2025-06-29,21:27:12,Customer Care Call,Baltimore,Maryland,21239,Solved,Yes,comcast change contract
360325,Comcast throttle,,2025-06-23,22:16:47,Customer Care Call,Bargersville,Indiana,46106,Pending,No,comcast throttle
249688,Xfinity WiFi access,,2025-04-22,10:53:59,Internet,Barnegat,New Jersey,8005,Closed,No,xfinity wifi access
270364,"No internet, no cable",,2025-02-05,21:14:09,Customer Care Call,Barrington,Illinois,60010,Open,No,no internet no cable
256911,Internet service slow and intermittent,,2025-04-25,13:09:19,Customer Care Call,Bartlett,Tennessee,38133,Closed,No,internet service slow and intermittent
332159,Comcast Account,,2025-10-06,10:09:01,Customer Care Call,Bartlett,Tennessee,38135,Solved,No,comcast account
294386,Week long issues with speed and no help from comcast,,2025-05-18,09:36:31,Internet,Bartonville,Illinois,61607,Solved,No,week long issues with speed and no help from comcast
327139,Data Usage Cap Maine,,2025-06-06,20:04:42,Customer Care Call,Bath,Maine,4530,Open,No,data usage cap maine
360806,Comcasts Shady Business Practices,,2025-06-24,03:43:45,Internet,Battle Ground,Washington,98604,Open,Yes,comcasts shady business practices
375249,Comcast cable,,2025-06-30,15:47:29,Internet,Beach Haven,New Jersey,8008,Pending,No,comcast cable
373009,Comcast Pricing,,2025-06-29,16:50:06,Internet,Beachwood,New Jersey,8722,Open,No,comcast pricing
229055,Comcast Complaint,,2025-10-04,14:35:54,Internet,Beale Afb,California,95903,Closed,No,comcast complaint
365445,CABLE,,2025-06-25,14:25:23,Internet,Beaver Falls,Pennsylvania,15010,Solved,No,cable
252877,Comcast Charges,,2025-04-23,15:20:54,Customer Care Call,Beaverton,Oregon,97005,Open,No,comcast charges
316088,Comcast,,2025-05-31,23:02:38,Customer Care Call,Beaverton,Oregon,97006,Pending,No,comcast
297569,Internet needed!,,2025-05-19,16:23:00,Internet,Bedford,Indiana,47421,Solved,No,internet needed
282375,Deceptive Practices,,2025-10-05,09:54:33,Internet,Bedford,Pennsylvania,15522,Solved,No,deceptive practices
249174,Comcast fraud,,2025-04-21,21:56:13,Internet,Bel Air,Maryland,21014,Closed,No,comcast fraud
327919,Complaint CR Comcast Problem - VOIP Phone not working for days,,2025-08-06,10:23:24,Internet,Bel Air,Maryland,21014,Solved,No,complaint cr comcast problem voip phone not working for days
238313,Comcast,,2025-04-15,21:40:42,Internet,Belleville,Michigan,48111,Closed,No,comcast
226213,Double-billing,,2025-09-04,12:15:51,Internet,Bellevue,Washington,98004,Closed,No,doublebilling
216441,download speeds slower than dial-up but paying for 25 Mbps,,2025-03-04,13:41:50,Internet,Bellevue,Washington,98006,Closed,No,download speeds slower than dialup but paying for 25 mbps
364301,Comcast billing error,,2025-06-25,11:33:32,Internet,Bellingham,Washington,98229,Solved,Yes,comcast billing error
367375,Comcast Internet Technical Support,,2025-06-26,04:54:18,Internet,Bellingham,Washington,98225,Solved,No,comcast internet technical support
235996,Comcast Blocking HBOGo on PS4,,2025-04-14,21:08:59,Customer Care Call,Belmont,California,94002,Closed,No,comcast blocking hbogo on ps4
231265,Residentail Broadband Data Caps,,2025-12-04,15:10:25,Internet,Belmont,Michigan,49306,Closed,No,residentail broadband data caps
363097,Comcast,,2025-06-24,18:24:00,Internet,Belton,Missouri,64012,Open,No,comcast
304557,Monthly Charges Increased without any notice,,2025-05-23,10:19:35,Internet,Beltsville,Maryland,20705,Solved,No,monthly charges increased without any notice
260284,Comcast internet for low income families,,2025-04-27,20:57:16,Customer Care Call,Belvidere,Illinois,61008,Closed,No,comcast internet for low income families
